РАЙОН,Код на училището,Училище - име,Код на паралелката,Паралелка - име,Балообразуване,Бал/2025
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2837,Съдебна администрация - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ЧЕз),321
СЛАТИНА,2221157,"157 Гимназия с изучаване на чужд език ""Сесар Вайехо"", ГР.СОФИЯ",1023,"Чужди езици - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),318
СЛАТИНА,2221093,"93-то Средно училище ""Александър Теодоров - Балан"", ГР.СОФИЯ",4038,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ),318
МЛАДОСТ,2213081,"81. Средно училище  ""Виктор Юго"", ГР.СОФИЯ",2579,Хуманитарни науки,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ФВС),313.5
ОВЧА КУПЕЛ,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ"", ГР.СОФИЯ",4623,Изобразително изкуство - АЕ,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ЧЕз),312
ВЪЗРАЖДАНЕ,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов"", ГР.СОФИЯ",319,Измервателна и организационна техника - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),311.5
НАДЕЖДА,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ"", ГР.СОФИЯ",749,"Чужди езици - АЕ интензивно, ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),310.5
ТРИАДИЦА,2224047,"47 Средно училище ""Христо Груев Данов"", ГР.СОФИЯ",4439,"Предприемачески - АЕ разширено, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),310
КРАСНО СЕЛО,2209036,"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",784,"Природни науки - АЕ интензивно, ИтЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),310
ТРИАДИЦА,2224047,"47 Средно училище ""Христо Груев Данов"", ГР.СОФИЯ",515,"Предприемачески - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),307.5
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2843,Фризьорство,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),307.25
СЕРДИКА,2220029,"29. Средно училище  ""Кузман Шапкарев"", ГР.СОФИЯ",4459,"Природни науки - АЕ разширено, БЗО и ХООС",(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз),307
МЛАДОСТ,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН"", ГР.СОФИЯ",1660,Софтуерни и хардуерни науки - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),306.5
КРАСНО СЕЛО,2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",3271,"Природни науки - АЕ интензивно, ИЕ или НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * БЗО),306.5
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2845,Козметика,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),306
ИЛИНДЕН,2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2774,"Чужди езици - АЕ интензивно, ФЕ или РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),306
ЛОЗЕНЕЦ,2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),306
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",4292,"Художествено осветление за театър, кино и телевизия - АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),304
ИЛИНДЕН,2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2762,"Предприемачески - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ),302.5
ПОДУЯНЕ,2219044,"44. Средно училище ""Неофит Бозвели"", ГР.СОФИЯ",1536,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),302
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",707,Електронна търговия - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),301.5
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",730,Компютърна техника и технологии - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),300.5
КРАСНО СЕЛО,2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",4283,Пространствен дизайн,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),299.75
НАДЕЖДА,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО"", ГР.СОФИЯ",2886,"Икономическо развитие - АЕ интензивно, НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * КМИТ),299.5
МЛАДОСТ,2213010,"10 Средно училище  "" Теодор Траянов "", ГР.СОФИЯ",2101,"Обществени науки - АЕ, ИЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ГИ),297.75
КРАСНО СЕЛО,2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",4980,"Обществени науки - АЕ интензивно,  ИЕ или НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ),296.25
СЕРДИКА,2204311,"Профилирана гимназия с интензивно изучаване на румънски език  ""МИХАЙ ЕМИНЕСКУ"", ГР.СОФИЯ",2935,"Хуманитарни науки - ИЕ интензивно, РумЕ, БЕЛ и Философия",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),292
ИЛИНДЕН,2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2797,"Екскурзоводско обслужване - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ),287.5
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",3215,Телекомуникационни системи-АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),287.5
МЛАДОСТ,2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",3559,Рекламна графика - ИЕ,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * БЕЛ + 1 * ИИ),287.5
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3381,Промишлен дизайн - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ),285
КРАСНО СЕЛО,2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2909,"Природни науки -  ИЕ интензивно, НЕ или АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),283
СТУДЕНТСКИ,2223431,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕЛЕКОМУНИКАЦИИ, ГР.СОФИЯ",746,Икономическа информатика - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),282.5
ТРИАДИЦА,2224047,"47 Средно училище ""Христо Груев Данов"", ГР.СОФИЯ",3873,"Предприемачески - НЕ разширено, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),282
ЛЮЛИН,2212096,"96 Средно училище ""Лев Николаевич Толстой"", ГР.СОФИЯ",903,"Обществени науки - АЕ интензивно, ИЕ/РЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),281.5
МЛАДОСТ,2213081,"81. Средно училище  ""Виктор Юго"", ГР.СОФИЯ",4739,Хуманитарни науки - ЯЕ,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ),280
МЛАДОСТ,2213118,"118 Средно училище  ""Академик Людмил Стоянов"", ГР.СОФИЯ",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ЧЕз),279
ИСКЪР,2207108,"108 Средно училище  ""Никола Беловеждов"", ГР.СОФИЯ",1852,"Предприемачески  - АЕ разширено, РЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * КМИТ),278.75
ИЛИНДЕН,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ"", ГР.СОФИЯ",4500,Програмиране на изкуствен интелект - АЕ интензивно; втори ЧЕ - Китайски език,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * КМИТ),276
МЛАДОСТ,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН"", ГР.СОФИЯ",1670,Икономическо информационно осигуряване - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),276
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3382,Индустриални отношения - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ЧЕз),275.75
МЛАДОСТ,2213081,"81. Средно училище  ""Виктор Юго"", ГР.СОФИЯ",2566,Чужди езици - АЕ интензивно,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),275.5
ПОДУЯНЕ,2219044,"44. Средно училище ""Неофит Бозвели"", ГР.СОФИЯ",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),275.5
ВЪЗРАЖДАНЕ,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",3251,Моден дизайн - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),273.5
ИЛИНДЕН,2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2767,"Чужди езици - АЕ интензивно, КитЕ/ГрЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),269.5
ИЛИНДЕН,2212303,"33. Езикова гимназия  ""Света София"", ГР.СОФИЯ",2778,"Чужди езици - ФЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),267.5
МЛАДОСТ,2213118,"118 Средно училище  ""Академик Людмил Стоянов"", ГР.СОФИЯ",4462,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ЧЕз),264
МЛАДОСТ,2213039,"39 Средно училище ""Петър Динеков"", ГР.СОФИЯ",1802,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ/ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),260
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2840,Икономическо информационно осигуряване - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),257
НОВИ ИСКЪР,2215170,"170 Средно  училище ""Васил Левски"", ГР.НОВИ ИСКЪР",2972,Компютърна графика- АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М),256.5
ОБОРИЩЕ,2216423,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ, ГР.СОФИЯ",1285,Организация на хотелиерството - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),254.5
ИЛИНДЕН,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2367,Автомобилна мехатроника (дуална) - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ),254
НАДЕЖДА,2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО"", ГР.СОФИЯ",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ),253
ЛЮЛИН,2212097,"97 Средно училище  ""Братя Миладинови"", ГР.СОФИЯ",2506,Софтуерни и хардуерни науки - АЕ разширено,(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),252
ИЛИНДЕН,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ"", ГР.СОФИЯ",2769,Системно програмиране - АЕ интензивно; - втори ЧЕ - Немски език,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * КМИТ),252
СЕРДИКА,2204311,"Профилирана гимназия с интензивно изучаване на румънски език  ""МИХАЙ ЕМИНЕСКУ"", ГР.СОФИЯ",4299,"Хуманитарни науки - ИтЕ интензивно, РумЕ, БЕЛ, ИЦ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),251.5
ИЛИНДЕН,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ"", ГР.СОФИЯ",2760,Приложно програмиране - АЕ интензивно; втори ЧЕ - Немски език,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * КМИТ),250.5
СТУДЕНТСКИ,2223008,"8. Средно училище ""Васил Левски"", ГР.СОФИЯ",4284,"Предприемачески - АЕ разширено, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ),248
ВРЪБНИЦА,2203140,"140. СРЕДНО УЧИЛИЩЕ ""ИВАН БОГОРОВ"", ГР.СОФИЯ",1904,Графичен дизайн,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * КМИТ),247.5
ОБОРИЩЕ,2216423,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ, ГР.СОФИЯ",1287,Екскурзоводско обслужване - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),246.5
НАДЕЖДА,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ"", ГР.СОФИЯ",4040,"Икономическо развитие - АЕ интензивно, НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),246.25
ИЗГРЕВ,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2842,Извършване на термални процедури - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз),245.5
ВИТОША,2202026,"26 Средно училище  ""Йордан Йовков"", ГР.СОФИЯ",965,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),245
ЛЮЛИН,2212097,"97 Средно училище  ""Братя Миладинови"", ГР.СОФИЯ",2512,Търговия (дуална) - АЕ разширено,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * КМИТ),244.5
ЛЮЛИН,2212137,"137 средно училище  ""Ангел Кънчев"", ГР.СОФИЯ",1834,"Предприемачески - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),243.5
ИЛИНДЕН,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ"", ГР.СОФИЯ",2752,Компютърни мрежи - АЕ  - разширено; втори ЧЕ - Испански език,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * КМИТ),242.75
НОВИ ИСКЪР,2215170,"170 Средно  училище ""Васил Левски"", ГР.НОВИ ИСКЪР",3971,Организация на туризма и свободното време - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М),241
ИЛИНДЕН,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2380,Ремонт на летателни апарати - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ),237.5
СЕРДИКА,2204311,"Профилирана гимназия с интензивно изучаване на румънски език  ""МИХАЙ ЕМИНЕСКУ"", ГР.СОФИЯ",2934,"Чужди езици - РумЕ интензивно, АЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),237.5
ИСКЪР,2207108,"108 Средно училище  ""Никола Беловеждов"", ГР.СОФИЯ",5067,"Сътрудник в малък и среден бизнес - АЕ разширено, НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * КМИТ),237.25
МЛАДОСТ,2213010,"10 Средно училище  "" Теодор Траянов "", ГР.СОФИЯ",3075,"Природни науки - АЕ, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),237
ОВЧА КУПЕЛ,2217151,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ"", ГР.СОФИЯ",5108,Природни науки - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС),235
МЛАДОСТ,2213039,"39 Средно училище ""Петър Динеков"", ГР.СОФИЯ",4110,"Предприемачески - АЕ интензивно, РЕ/ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),233
ОБОРИЩЕ,2216423,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ, ГР.СОФИЯ",1281,Кетъринг - ИЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),232.5
ОБОРИЩЕ,2216423,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ, ГР.СОФИЯ",1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),232.5
ОБОРИЩЕ,2216423,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ, ГР.СОФИЯ",1286,Организация на обслужването в хотелиерството - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),231
НАДЕЖДА,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ"", ГР.СОФИЯ",758,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * КМИТ),224
СЕРДИКА,2220014,"14. средно училище ""Проф. д-р Асен Златаров"", ГР.СОФИЯ",1312,"Обществени науки - АЕ, РЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ГИ),223.5
ЛЮЛИН,2212040,"40 Средно училище  ""Луи Пастьор"", ГР.СОФИЯ",508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),219
ПОДУЯНЕ,2219095,"95 СУ ""Проф. Иван Шишманов"", ГР.СОФИЯ",2359,Бизнес администрация - РЕ интензивно; АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),218.75
ЛЮЛИН,2212040,"40 Средно училище  ""Луи Пастьор"", ГР.СОФИЯ",3883,"Компютърна графика - АЕ, РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),217
ИЛИНДЕН,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ"", ГР.СОФИЯ",5005,Микропроцесорна техника АЕ - разширено; втори ЧЕ - Испански език,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * КМИТ),217
ОВЧА КУПЕЛ,2217088,"88. Средно училище  ""Димитър Попниколов"", ГР.СОФИЯ",1353,Чужди езици - АЕ интензивно,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),217
ОБОРИЩЕ,2216423,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ, ГР.СОФИЯ",1277,Кетъринг - РЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),215
ВЪЗРАЖДАНЕ,2204403,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ, ГР.СОФИЯ",4827,Бутикови облекла,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * КМИТ),213.5
КРАСНО СЕЛО,2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",424,Помощник-инструктор по спортно туристическа дейност - АЕ,(3 * БЕЛ + 1 * МАТ) + (1 * ФВС + 1 * ЧЕз),213.5
ОБОРИЩЕ,2216423,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ, ГР.СОФИЯ",1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * БЗО),213
ИЛИНДЕН,2206409,"Професионална гимназия по транспорт и енергетика ""Хенри Форд"", ГР.СОФИЯ",2376,Автотранспортна техника (дуална) - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * ФА + 1 * КМИТ),210.5
ЛЮЛИН,2212137,"137 средно училище  ""Ангел Кънчев"", ГР.СОФИЯ",1838,"Хуманитарни науки - АЕ интензивно, НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИЦ),210
ОВЧА КУПЕЛ,2217424,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА, ГР.СОФИЯ",3864,Програмиране на изкуствен интелект - АЕ,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),210
ЛЮЛИН,2212096,"96 Средно училище ""Лев Николаевич Толстой"", ГР.СОФИЯ",4109,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ/РЕ",(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),208
ИСКЪР,2207068,"68. Средно училище ""Академик Никола Обрешков"", ГР.СОФИЯ",2629,Софтуерни и хардуерни науки - АЕ разширено,(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз),207
МЛАДОСТ,2213039,"39 Средно училище ""Петър Динеков"", ГР.СОФИЯ",4447,"Предприемачески - АЕ разширено, РЕ/ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ),207
ИЛИНДЕН,2206410,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ ""А. С. ПОПОВ"", ГР.СОФИЯ",2756,Телекомуникационни системи - АЕ - разширено; втори ЧЕ - Руски език,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * КМИТ),204.75
ОВЧА КУПЕЛ,2217149,"149  Средно училище ,,Иван Хаджийски"", ГР.СОФИЯ",1060,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",(3 * БЕЛ + 1 * МАТ) + (1 * КМИТ + 1 * ЧЕз),200.5
ЛЮЛИН,2212096,"96 Средно училище ""Лев Николаевич Толстой"", ГР.СОФИЯ",4449,"Обществени науки - ИЕ интензивно, АЕ/РЕ",(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз),197.5
ЛЮЛИН,2212137,"137 средно училище  ""Ангел Кънчев"", ГР.СОФИЯ",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),194
МЛАДОСТ,2213131,"131. СУ ""Климент Аркадиевич Тимирязев"", ГР.СОФИЯ",3905,"Бизнес администрация - АЕ, ИЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),192
